/home/dswartz/julia-1.9.0/bin/julia
(1, 1, 10000)
(2, 1, 10000)
(3, 1, 10000)
(4, 1, 10000)
(5, 1, 10000)
(6, 1, 10000)
(7, 1, 10000)
(8, 1, 10000)
(9, 1, 10000)
(10, 1, 10000)
(1, 2, 10000)
(2, 2, 10000)
(3, 2, 10000)
(4, 2, 10000)
(5, 2, 10000)
(6, 2, 10000)
(7, 2, 10000)
(8, 2, 10000)
(9, 2, 10000)
(10, 2, 10000)
(1, 3, 10000)
(2, 3, 10000)
(3, 3, 10000)
(4, 3, 10000)
(5, 3, 10000)
(6, 3, 10000)
(7, 3, 10000)
(8, 3, 10000)
(9, 3, 10000)
(10, 3, 10000)
(1, 4, 10000)
(2, 4, 10000)
(3, 4, 10000)
(4, 4, 10000)
(5, 4, 10000)
(6, 4, 10000)
(7, 4, 10000)
(8, 4, 10000)
(9, 4, 10000)
(10, 4, 10000)
(1, 5, 10000)
(2, 5, 10000)
(3, 5, 10000)
(4, 5, 10000)
(5, 5, 10000)
(6, 5, 10000)
(7, 5, 10000)
(8, 5, 10000)
(9, 5, 10000)
(10, 5, 10000)
(1, 6, 10000)
(2, 6, 10000)
(3, 6, 10000)
(4, 6, 10000)
(5, 6, 10000)
(6, 6, 10000)
(7, 6, 10000)
(8, 6, 10000)
(9, 6, 10000)
(10, 6, 10000)
(1, 7, 10000)
(2, 7, 10000)
(3, 7, 10000)
(4, 7, 10000)
(5, 7, 10000)
(6, 7, 10000)
(7, 7, 10000)
(8, 7, 10000)
(9, 7, 10000)
(10, 7, 10000)
(1, 8, 10000)
(2, 8, 10000)
(3, 8, 10000)
(4, 8, 10000)
(5, 8, 10000)
(6, 8, 10000)
(7, 8, 10000)
(8, 8, 10000)
(9, 8, 10000)
(10, 8, 10000)
(1, 9, 10000)
(2, 9, 10000)
(3, 9, 10000)
(4, 9, 10000)
(5, 9, 10000)
(6, 9, 10000)
(7, 9, 10000)
(8, 9, 10000)
(9, 9, 10000)
(10, 9, 10000)
(1, 10, 10000)
(2, 10, 10000)
(3, 10, 10000)
(4, 10, 10000)
(5, 10, 10000)
(6, 10, 10000)
(7, 10, 10000)
(8, 10, 10000)
(9, 10, 10000)
(10, 10, 10000)
