variance,probability,variance_error,probability_error
0.18490324170819725,0.11966666666666667,0.00017801881979182964,0.005926822723380828
0.20527532712807692,0.16233333333333333,0.0002453118737663362,0.006733660827275627
0.22624463450901408,0.21166666666666667,0.0003201490215455925,0.0074592119497035245
0.24703374454814678,0.258,0.00041104357919953007,0.007989573064892331
0.26839414294351993,0.296,0.0004943133661032755,0.008335736010191934
0.2902134662257341,0.37533333333333335,0.0005880318911079137,0.008841877647923792
