variance,probability,error
0.18490324170819677,0.11966666666666667,0.0059258348372628914
0.2052753271280772,0.16233333333333333,0.006732538456932427
0.2262446345090142,0.21166666666666667,0.007457968644094469
0.2470337445481467,0.258,0.007988241358396727
0.26839414294352054,0.296,0.00833434660506349
0.29021346622573335,0.37533333333333335,0.00884040387882481
