PeakTimeDifference
12.5
14.0
12.5
10.0
12.0
11.5
10.0
10.5
14.5
9.5
10.5
15.5
12.5
11.0
16.0
9.0
10.5
12.0
10.0
10.0
12.0
9.0
15.0
9.0
9.5
11.5
13.0
12.5
13.0
12.0
9.0
8.5
18.0
10.0
11.0
11.0
12.5
9.5
12.0
12.5
12.0
11.5
13.5
10.5
13.0
12.0
11.5
16.0
9.5
8.0
14.5
10.0
9.5
12.0
9.5
18.0
12.0
11.5
12.5
10.0
11.5
10.5
12.0
10.0
15.5
11.0
13.0
9.5
15.5
12.0
10.5
13.0
9.5
11.5
12.0
8.5
9.0
10.0
10.5
11.0
14.0
9.5
10.5
11.0
11.5
10.5
11.0
16.5
11.5
11.0
11.5
12.5
8.0
12.0
13.0
11.5
10.0
12.0
11.0
12.0
8.5
11.0
9.5
10.5
11.5
14.0
17.5
7.0
11.5
5.5
11.5
13.5
11.5
13.0
12.5
11.0
12.5
11.5
10.5
11.5
14.0
10.0
9.0
13.0
14.0
11.0
11.0
9.5
10.0
11.0
12.0
9.0
10.5
14.5
11.5
12.0
10.0
10.5
11.5
10.0
8.5
12.5
12.5
11.0
9.5
12.5
15.5
15.0
16.5
10.5
11.0
14.5
12.5
13.5
9.5
13.0
9.5
15.0
10.5
10.5
8.5
11.0
9.5
11.5
10.5
14.0
13.5
11.0
17.5
13.5
8.5
12.0
17.5
10.0
13.0
10.5
12.5
12.0
9.5
10.0
11.5
15.5
11.0
11.5
11.5
8.0
17.0
11.5
16.0
12.5
12.5
12.5
10.5
8.0
9.5
14.5
14.5
13.0
14.5
11.0
9.5
15.5
16.0
18.5
8.5
13.5
11.0
11.5
9.0
12.5
11.5
16.0
14.5
11.0
9.5
10.5
12.5
11.0
14.0
13.5
13.0
8.5
7.5
10.0
10.5
14.5
9.5
14.0
12.5
12.5
11.5
10.0
10.0
15.0
13.5
11.0
10.5
13.0
10.0
12.5
9.5
9.5
13.0
10.5
12.5
11.0
12.5
10.5
10.5
10.0
8.5
11.0
14.0
14.5
10.5
12.5
11.0
8.5
13.0
9.0
11.0
10.0
13.0
12.5
10.0
10.5
14.0
9.5
9.5
13.0
10.5
10.0
10.5
9.5
12.5
9.5
11.5
9.0
14.5
12.0
11.0
10.0
11.5
13.5
12.5
9.5
13.0
16.0
13.0
9.5
12.0
11.0
11.5
9.5
8.5
12.0
12.5
11.5
11.5
13.0
13.0
13.0
15.0
11.5
8.0
11.0
10.5
11.0
9.0
15.5
12.0
12.5
11.0
12.5
13.0
9.5
10.5
11.0
11.0
10.5
13.5
13.5
11.5
10.0
9.0
10.0
12.0
11.0
12.0
13.0
12.0
12.0
11.0
9.0
12.0
15.0
14.5
10.5
11.0
18.5
8.5
9.5
10.5
8.5
11.5
9.0
12.5
15.0
13.0
9.5
13.0
14.0
10.0
13.5
7.5
8.5
10.0
13.0
11.5
14.0
14.5
14.5
11.5
14.0
10.5
14.0
13.0
13.5
15.0
9.0
16.5
10.0
14.0
10.5
10.5
9.5
13.0
13.5
10.5
12.0
9.5
14.0
14.0
9.5
11.5
10.0
12.5
10.5
9.5
12.5
10.5
12.5
9.5
8.5
11.0
11.5
13.5
11.0
12.5
11.5
14.5
16.5
14.0
17.0
12.0
11.5
10.5
9.5
13.0
10.0
14.0
12.0
