AntigenicVariance,Survival
0.3196721179880799,false
0.29564743993576265,false
0.2968814327934994,true
0.2691253871683231,true
0.2989902879631327,true
0.2916018375808582,false
0.28511043755982085,false
0.27782220987559086,false
0.31126937000986693,false
0.30134947342421353,true
0.2929844505312292,true
0.2690778520996072,true
0.27850639016326795,false
0.2466110932639504,false
0.31017589080567604,false
0.29917971476176947,true
0.3994247013467081,true
0.2571254188381168,false
0.2807111935412935,true
0.28149787928791664,false
0.2936224154309029,true
0.34604725569199263,false
0.2942855346134871,true
0.26869720716134743,false
0.3218918836223013,false
0.28110046369052943,false
0.2569506932721274,false
0.28093107472975504,true
0.3156612417611893,true
0.32534953498842767,false
0.30537096695097865,true
0.275760912999153,true
0.3213884106127098,false
0.299496800203327,true
0.2668642495476959,true
0.3389579368805842,true
0.25970713678240354,false
0.27477418027751266,false
0.28364552154573686,true
0.3019719365042,false
0.2572495403322484,true
0.312064436197813,true
0.26508265545158055,true
0.2923324128048387,false
0.2929834175658363,true
0.26493430260220985,false
0.2742180597953614,true
0.28891340780778696,true
0.30321431550055045,false
0.27715354372936807,true
0.25914820547462547,true
0.25319240733132814,true
0.30249428294812664,false
0.27529370454962954,true
0.28621795444646564,false
0.2945400145316532,false
0.28985788162279336,true
0.29716520771401833,true
0.2936633189260558,false
0.3307887324086851,false
0.2583311874027833,true
0.3053188822668731,false
0.2422125419334152,false
0.36058909834159897,true
0.2717024916637802,false
0.2861902865473961,true
0.2833094219340021,true
0.35892014463664795,true
0.27735827148900494,true
0.31102134867683295,true
0.27942103039272986,false
0.2801346347265503,true
0.2550568475144624,false
0.33253697755558537,true
0.3150752596618843,false
0.2880992930635305,true
0.33323444587992035,true
0.288749343778052,true
0.35926457009339535,true
0.31053560422734466,false
0.34597751979456987,false
0.2799459894686783,false
0.2761308301153734,false
0.2993405173374727,true
0.3027432520629542,true
0.36443823916883455,false
0.3212032519243314,true
0.34664919461148164,false
0.31742674135853605,true
0.2916828787640417,false
0.2866419790102789,false
0.2798450409014979,false
0.3196505808797517,false
0.3148693272026695,false
0.2808610621481657,false
0.34298095414398355,true
0.27731780697139063,true
0.2761586825796444,false
0.2883982847984408,false
0.2806402737589305,true
0.2772407228352486,false
0.2624565644184519,false
0.31111809188991807,true
0.3529353637594381,true
0.30095985883101284,true
0.2638461101446074,true
0.30191944570516627,true
0.3340164023050871,true
0.28352292232660214,false
0.2838334177008877,false
0.28320586591227714,false
0.2847284337251291,false
0.2949013006723415,false
0.3117258839274359,false
0.25994312078877135,false
0.29402715388854017,false
0.2755206644508715,false
0.3121715248434618,true
0.26494067323063164,false
0.23945823709825775,false
0.3670796918931662,false
0.2703266435598214,true
0.37843570221475176,true
0.27458366313592175,false
0.30553676738351343,true
0.2887497132223984,true
0.29624039876110014,true
0.29474049821569387,false
0.31303864771587814,true
0.321900425715894,false
0.3710390507461021,false
0.2917390589675324,true
0.2912911017522112,false
0.29451874699514363,false
0.2868387618336566,false
0.3238593929489841,false
0.3019645729872022,false
0.26890171032014104,true
0.3339223591028718,false
0.3647693345622336,true
0.2838288879545116,false
0.27409980249535826,false
0.3452518926020323,false
0.34136399401038625,true
0.27814125986195726,false
0.2834278768549501,true
0.2944965124623486,true
0.29111400230686063,false
0.32042333507344584,false
0.2929261409875564,true
0.3029085569712596,false
0.34696006781364513,false
0.29478154548017654,false
0.274871834251725,false
0.2691268975293985,false
0.2918028236779134,false
0.29344058842740217,false
0.2933135785891518,false
0.2897106980516883,false
0.26926478757844086,false
0.28144540859476846,true
