OutbreakDeme,SurvivalProbability
1,0.1650834916508349
2,0.15978402159784022
3,0.1621837816218378
4,0.16008399160083991
5,0.1593840615938406
6,0.15648435156484353
7,0.16128387161283872
8,0.1558844115588441
9,0.1618838116188381
10,0.15658434156584342
11,0.15428457154284572
12,0.16348365163483652
13,0.16268373162683733
14,0.1591840815918408
15,0.16268373162683733
16,0.1478852114788521
17,0.1603839616038396
18,0.16178382161783822
19,0.15758424157584242
20,0.1630836916308369
21,0.1660833916608339
22,0.16428357164283572
23,0.1583841615838416
24,0.1546845315468453
25,0.15508449155084492
26,0.16348365163483652
27,0.14908509149085092
28,0.1655834416558344
29,0.15148485151484853
30,0.16328367163283672
