time,FST,FST_error
0.0,NaN,NaN
0.05,0.9999999995000033,3.263736496684832e-15
0.1,0.9999999995000033,3.3269197283831228e-15
0.15,0.9999999995000032,3.1685101616333872e-15
0.2,0.9999999995000032,3.2081025334274146e-15
0.25,0.9999999995000033,3.263831385710291e-15
0.3,0.9999999995000033,3.275595231110817e-15
0.35,0.9999999995000033,3.2646568038579296e-15
0.4,0.9999999995000032,3.174720481880363e-15
0.45,0.9999999995000033,3.3042499633973632e-15
0.5,0.9999999995000033,3.2938956573026583e-15
0.55,0.9999999995000033,3.290499727664869e-15
0.6,0.9999999995000033,3.2955030341493317e-15
0.65,0.9999999995000033,3.3128522726215893e-15
0.7,0.9999999995000033,3.2965459996256258e-15
0.75,0.9999999995000033,3.2919112041619923e-15
0.8,0.9999999995000032,3.190504025211103e-15
0.85,0.9999999995000032,3.1652830243217957e-15
0.9,0.9999999995000033,3.3067983537716508e-15
0.95,0.9999999995000033,3.2911867218396958e-15
1.0,0.9999999995000033,3.2871191328028924e-15
1.05,0.9999999995000033,3.2872321893509154e-15
1.1,0.9999999995000033,3.284979746793094e-15
1.15,0.9999999995000033,3.318941805033443e-15
1.2,0.9999999995000033,3.2963956826145356e-15
1.25,0.9999999995000033,3.288852239467509e-15
1.3,0.9999999995000033,3.290932644815977e-15
1.35,0.9999999995000033,3.2976355930401813e-15
1.4,0.9999999995000033,3.299607217554845e-15
1.45,0.9999999995000033,3.3096442326900116e-15
1.5,0.9999999995000033,3.315020382122791e-15
1.55,0.9999999995000033,3.3111597875621938e-15
1.6,0.9999999995000033,3.311982761255367e-15
1.65,0.9999999995000033,3.309494510599812e-15
1.7,0.9999999995000033,3.285667895130633e-15
1.75,0.9999999995000033,3.287985800325884e-15
1.8,0.9999999995000033,3.298518275423417e-15
1.85,0.9999999995000033,3.288955820174684e-15
1.9,0.9999999995000033,3.3190444467058774e-15
1.95,0.9999999995000032,3.190290467475853e-15
2.0,0.9999999995000033,3.321460274966882e-15
2.05,0.9999999995000033,3.3104956483023146e-15
2.1,0.9999999995000033,3.3057867280441924e-15
2.15,0.9999999995000033,3.2998512414930115e-15
2.2,0.9999999995000033,3.3054119732785523e-15
2.25,0.9999999995000033,3.2915725050026375e-15
2.3,0.9999999995000033,3.301193050719568e-15
2.35,0.9999999995000033,3.2827068903674343e-15
2.4,0.9999999995000033,3.2785532125690386e-15
2.45,0.9999999995000032,3.204818629831354e-15
2.5,0.9999999995000033,3.2979079351453866e-15
2.55,0.9999999995000033,3.3210033611641646e-15
2.6,0.9999999995000033,3.303893781782725e-15
2.65,0.9999999995000033,3.314142094882586e-15
2.7,0.9999999995000033,3.293397305223882e-15
2.75,0.9999999995000033,3.3028812664261464e-15
2.8,0.9999999995000033,3.2979642789799733e-15
2.85,0.9999999995000033,3.2873546628902523e-15
2.9,0.9999999995000033,3.3126839979109185e-15
2.95,0.9999999995000033,3.2966775213879635e-15
3.0,0.9999999995000033,3.284423466754317e-15
3.05,0.9999999995000033,3.2813763979221628e-15
3.1,0.9999999995000032,3.194190496507283e-15
3.15,0.9999999995000033,3.326137694811057e-15
