time,FST,FST_error
0.0,NaN,NaN
0.05,0.9995000000000032,3.1566513845792507e-15
0.1,0.9990068623475394,0.0006857016446827122
0.15,0.99872286191415,0.0008389509678324343
0.2,0.998202034773703,0.0013940186387063475
0.25,0.9976111423136333,0.0019673895515669557
0.3,0.9973535889510469,0.0019165743980111255
0.35,0.9972671813079336,0.002074268081310139
0.4,0.9972073388742844,0.002109224830588775
0.45,0.9973167609240101,0.0020733854673878694
0.5,0.9976806941368008,0.001968975869503111
0.55,0.9980908801259736,0.001954257766283106
0.6,0.9984179112575794,0.002127155810450887
0.65,0.9986803087904687,0.0019574863295697214
0.7,0.9988233732259907,0.002016245373881792
0.75,0.9989747144888235,0.001818213762813909
0.8,0.9989832264312358,0.001754474321962628
0.85,0.9989694870038629,0.0020559267463451047
0.9,0.9990368608756255,0.0018499527421748966
0.95,0.9989656879114845,0.0019300197680430235
1.0,0.9988594595261673,0.0021509764210903217
1.05,0.9989301563390931,0.002068418122065224
1.1,0.9988325193023054,0.0022481017653032676
1.15,0.9988920363702792,0.0021656252374270385
1.2,0.9989199240514449,0.0020801385202335416
1.25,0.9989435243315472,0.0019695095449829103
1.3,0.9989787259104432,0.002063253592312883
1.35,0.998954810172193,0.0022330993655517396
1.4,0.9989224871353002,0.0020654427393864763
1.45,0.9988906715526116,0.0019817021443475306
1.5,0.9989239657876806,0.0018692058318781283
1.55,0.9988727677018804,0.001746414382667006
1.6,0.9988277886548864,0.0019051183750922948
1.65,0.9988614840355791,0.0018836641248870484
1.7,0.9988469365062261,0.0019619537621031586
1.75,0.9988389677656834,0.001968686086327562
1.8,0.9988981710134212,0.00180400547397916
1.85,0.9989785617125402,0.0016571163750241865
1.9,0.9989856046600382,0.0015431353168412533
1.95,0.9990432600563176,0.0013536542377728035
2.0,0.9990390187713413,0.0013981967379694548
2.05,0.9990426073013091,0.001310044446130601
2.1,0.9990504766550253,0.0013412423046375405
2.15,0.999060367795088,0.0013481423211652418
2.2,0.9990757241484768,0.0013205948211974406
2.25,0.9990934418118735,0.001274090797090434
2.3,0.999100426521391,0.0012378867456321668
2.35,0.9991252959036803,0.001233747242679204
2.4,0.9991418374154487,0.0012225496746446722
2.45,0.9991780416481807,0.0012055684096000166
2.5,0.999188075841695,0.0011960366200686296
2.55,0.9992107282389487,0.0011397237863267071
2.6,0.9992406640869927,0.0011058307220624137
2.65,0.9992633006988642,0.0010880585287350764
2.7,0.9992648543581787,0.0010769193369884736
2.75,0.9992868134369131,0.001057240252365322
2.8,0.9993072669369266,0.001042979549026104
2.85,0.9993241476040587,0.0010307958717311588
2.9,0.9993334161206471,0.0010683710712363582
2.95,0.9993453297423421,0.0010570715144827302
3.0,0.9993411592815166,0.001068907245936758
3.05,0.9993683798981546,0.0009965516524013999
3.1,0.9993746666501412,0.0009933188890688706
3.15,0.999389581586267,0.0009915214956008598
3.2,0.9994144034235519,0.0009589804656730636
3.25,0.9994219660456943,0.0009362972124425154
3.3,0.9994283816644954,0.0009411397893793645
3.35,0.9994455432269271,0.0009136402007486575
3.4,0.9994596684220067,0.0009071055935352739
3.45,0.9994704265642754,0.0008921415132104666
3.5,0.9994839673713458,0.0008739230129784292
3.55,0.9994934694019042,0.000860312997691934
3.6,0.9995029659692478,0.0008328038794396724
3.65,0.9995052177696416,0.0008263316652461964
3.7,0.9995097482834798,0.0008134088758004173
3.75,0.9995223566951473,0.0007865850890071674
3.8,0.999534688453419,0.0007574213349248946
3.85,0.9995441866204472,0.0007570422295280529
3.9,0.9995556563301095,0.0007319589370412793
3.95,0.999563699367914,0.0007241514927226894
4.0,0.9995751487505024,0.0007037908992990632
4.05,0.9995762198605495,0.0006968266300252336
4.1,0.9995833465091987,0.000678267727777924
4.15,0.9995885881327585,0.0006723093483995228
4.2,0.99959049128469,0.000667669201443395
4.25,0.999596599763261,0.000659729393561293
4.3,0.9996042553836989,0.0006583520155649835
4.35,0.9996165943824298,0.000633857297791243
4.4,0.9996244754132441,0.0006172409385563417
4.45,0.9996280906581994,0.0006133195102100301
4.5,0.999632162479596,0.0006062988181772995
4.55,0.9996370002337462,0.0005943511137925981
4.6,0.9996364811982437,0.000588713763682045
4.65,0.9996460850108417,0.0005742727179327517
4.7,0.9996539924321509,0.0005612626151705541
4.75,0.9996590593837084,0.0005529960246965576
4.8,0.9996646171275911,0.0005383984724358455
4.85,0.9996701529537185,0.0005290355852370177
4.9,0.9996788702957492,0.0005162777465801417
4.95,0.9996839328885255,0.0005042880897439132
5.0,0.9996873552829442,0.0005028372291270754
5.05,0.9996925103489268,0.0004968699602876645
5.1,0.9996966707522043,0.0004900258253010175
5.15,0.9997029001731502,0.0004790793781814272
5.2,0.9997084984290099,0.00046478306765234084
5.25,0.9997150078079768,0.0004532834816928374
5.3,0.9997191220254994,0.00044704488546195106
5.35,0.9997234780149475,0.0004406600076737899
5.4,0.9997264431432612,0.0004358009774930537
5.45,0.9997295822061899,0.0004342000412419625
5.5,0.9997327389624138,0.0004253800206216204
5.55,0.9997362510550956,0.0004191082485886841
5.6,0.9997397127862651,0.0004154580832450476
5.65,0.9997410850354601,0.00041503450939556316
5.7,0.9997431783690136,0.00041125181577655797
5.75,0.9997454342794195,0.0004085190543813103
5.8,0.9997481775115941,0.00040265671472650025
5.85,0.9997497577074664,0.00040053504479709283
5.9,0.9997511560739843,0.0003971664929181624
5.95,0.9997533761901731,0.00039226385296842414
6.0,0.9997553063058963,0.00038734126767750514
6.05,0.9997568867325011,0.00038440731352871706
6.1,0.9997579474959463,0.0003829074676024237
6.15,0.9997568876792441,0.00038715731056147937
6.2,0.9997573326433253,0.0003869743133092469
6.25,0.999757420747898,0.0003853982748258244
6.3,0.9997580393109966,0.00038461381395529716
6.35,0.9997578548731544,0.000386067017395806
6.4,0.9997580332312479,0.00038536799764325117
6.45,0.999758151781984,0.000383446422323253
6.5,0.9997565185681826,0.0003856811771682128
6.55,0.9997547842485066,0.00038878341256442996
6.6,0.9997534523629287,0.0003908041645071318
6.65,0.9997511733360738,0.0003939920853912366
6.7,0.9997490689068048,0.0003968580642129596
6.75,0.9997463095106558,0.00040110936733210275
6.8,0.9997439088608089,0.0004050898870089552
6.85,0.9997408927704128,0.0004098074231112157
6.9,0.9997367222098238,0.0004158165059090222
6.95,0.9997330853444497,0.00042187302074469157
7.0,0.9997299500276834,0.0004257815625819297
7.05,0.99972539870072,0.00043230183790088264
7.1,0.9997211702574951,0.00043982108706340685
7.15,0.999716064659542,0.00044768214708637506
7.2,0.9997108266386151,0.00045558328127481433
7.25,0.9997055612594944,0.0004638721863009374
7.3,0.9996998383320927,0.00047136150251787784
7.35,0.999694011113001,0.0004786166841173576
7.4,0.999687181605778,0.000488772861573402
7.45,0.9996809127589426,0.0004981290142443312
7.5,0.999674093393535,0.000507765524552692
7.55,0.9996674602167124,0.0005172624928490482
7.6,0.9996599909680658,0.0005278436883738194
7.65,0.9996537206338385,0.0005381794660928248
7.7,0.9996473048406355,0.0005480304100672366
7.75,0.9996403770732506,0.0005591642345735447
7.8,0.9996332187518496,0.0005690798864598505
7.85,0.9996272896437369,0.0005773589278434129
7.9,0.999620601012465,0.0005863228348916513
7.95,0.999614690347605,0.000594634127219203
8.0,0.9996091674536877,0.0006023623881407094
8.05,0.9996043098819137,0.0006086199912866419
8.1,0.9995999139424688,0.0006134811660671045
8.15,0.9995946976341902,0.0006207493234706705
8.2,0.9995908352937443,0.0006253173859114085
8.25,0.9995865225878136,0.0006327469024910786
8.3,0.9995842242491787,0.000636872246569576
8.35,0.9995821259294566,0.0006391311033873722
8.4,0.9995803805424377,0.000640719656404116
8.45,0.999579540613485,0.0006403178194164777
8.5,0.9995792188302646,0.0006397929152514171
8.55,0.9995790355825885,0.0006384054875297985
8.6,0.9995795014699634,0.0006373115545526013
8.65,0.9995805886150955,0.0006350010383949317
8.7,0.9995829281782249,0.000630654372856309
8.75,0.9995860211904686,0.0006246953043728108
8.8,0.9995891600421697,0.0006187723121095258
8.85,0.9995920457517886,0.0006136255164096952
8.9,0.9995960609731951,0.0006066999571688246
8.95,0.999600551533957,0.0005991845870531706
9.0,0.9996053101140823,0.0005906824226826056
9.05,0.9996113125081086,0.0005809207071182568
9.1,0.9996166667707841,0.0005719114667954881
9.15,0.9996222887615864,0.000562939870793677
9.2,0.9996288961202913,0.0005524369533757411
9.25,0.9996354402235121,0.0005425702676408142
9.3,0.9996420883619038,0.0005322090330510441
9.35,0.9996478578790529,0.0005229744822375516
9.4,0.9996539140823967,0.000513388978752071
9.45,0.9996605920798133,0.0005027658252485712
9.5,0.9996673025008892,0.0004936825110316569
9.55,0.9996738896616345,0.0004842012756372003
9.6,0.9996802452720089,0.0004746361311900404
9.65,0.999686287955669,0.00046623299993708714
9.7,0.999692237257557,0.0004577400821120554
9.75,0.9996988722075468,0.00044702513793537567
9.8,0.9997047320253211,0.0004372279662941703
9.85,0.999710452709162,0.0004287475529129571
9.9,0.9997164066676899,0.00042095378514392514
9.95,0.999722520655055,0.0004119065411092045
10.0,0.9997278277775247,0.00040331572853408485
10.05,0.9997330461432992,0.0003960619265913864
10.1,0.999737992205896,0.0003892516533155565
10.15,0.9997428362686474,0.00038169777433356354
10.2,0.9997479238062307,0.00037414666353896683
10.25,0.9997525196315991,0.0003679064902935178
10.3,0.9997566865345161,0.0003616192984134102
10.35,0.9997612812337852,0.0003553528937612633
10.4,0.9997651505783837,0.0003500418075210565
10.45,0.9997699561312858,0.0003432324730434026
10.5,0.9997738048206232,0.0003375740973341096
10.55,0.9997779984444781,0.00033219298819523607
10.6,0.9997819785965936,0.0003270497056974452
10.65,0.9997855291266281,0.0003225459973070637
10.7,0.9997897496758401,0.0003159798200253103
10.75,0.9997931850649202,0.0003107488470412933
10.8,0.9997963917736056,0.0003074143686035032
10.85,0.9998001086849682,0.00030288263034656594
10.9,0.999802947017214,0.0002988114420875143
